"","y2_statefips","y2_countyfips","n2","Year"
"497","13","227",1815,2005
"498","13","229",1102,2005
"499","13","231",1217,2005
"500","13","233",1555,2005
"501","13","235",363,2005
"502","13","237",1127,2005
"503","13","239",152,2005
"504","13","241",748,2005
"505","13","243",269,2005
"506","13","245",11981,2005
"507","13","247",7360,2005
"508","13","249",271,2005
"509","13","251",636,2005
"510","13","253",484,2005
"511","13","255",3578,2005
"512","13","257",1219,2005
"513","13","259",194,2005
"514","13","261",1070,2005
"515","13","263",368,2005
"516","13","265",82,2005
"517","13","267",882,2005
"518","13","269",374,2005
"519","13","271",434,2005
"520","13","273",412,2005
"521","13","275",2178,2005
"522","13","277",1911,2005
"523","13","279",1196,2005
"524","13","281",653,2005
"525","13","283",192,2005
"526","13","285",2927,2005
"527","13","287",380,2005
"528","13","289",553,2005
"529","13","291",1172,2005
"530","13","293",981,2005
"531","13","295",3472,2005
"532","13","297",5746,2005
"533","13","299",1506,2005
"534","13","301",278,2005
"535","13","303",522,2005
"536","13","305",1233,2005
"537","13","307",100,2005
"538","13","309",234,2005
"539","13","311",1561,2005
"540","13","313",4243,2005
"541","13","315",243,2005
"542","13","317",380,2005
"543","13","319",396,2005
"544","13","321",1085,2005
"545","15","001",6893,2005
"546","15","003",37968,2005
"547","15","005",-1,2005
"548","15","007",2093,2005
"549","15","009",5097,2005
"550","16","001",22722,2005
"551","16","003",328,2005
"552","16","005",4125,2005
"553","16","007",254,2005
"554","16","009",499,2005
"555","16","011",2414,2005
"556","16","013",1102,2005
"557","16","015",636,2005
"558","16","017",2657,2005
"559","16","019",5798,2005
"560","16","021",635,2005
"561","16","023",146,2005
"562","16","025",112,2005
"563","16","027",11919,2005
"564","16","029",282,2005
"565","16","031",1103,2005
"566","16","033",50,2005
"567","16","035",481,2005
"568","16","037",263,2005
"569","16","039",2837,2005
"570","16","041",694,2005
"571","16","043",643,2005
"572","16","045",1177,2005
"573","16","047",841,2005
"574","16","049",698,2005
"575","16","051",1858,2005
"576","16","053",1384,2005
"577","16","055",8926,2005
"578","16","057",2260,2005
"579","16","059",421,2005
"580","16","061",275,2005
"581","16","063",439,2005
"582","16","065",2638,2005
"583","16","067",980,2005
"584","16","069",2102,2005
"585","16","071",203,2005
"586","16","073",807,2005
"587","16","075",1592,2005
"588","16","077",411,2005
"589","16","079",757,2005
"590","16","081",595,2005
"591","16","083",4202,2005
"592","16","085",1008,2005
"593","16","087",559,2005
"594","17","001",1958,2005
"595","17","003",307,2005
"596","17","005",751,2005
"597","17","007",4461,2005
"598","17","009",204,2005
"599","17","011",1429,2005
"600","17","013",133,2005
"601","17","015",653,2005
"602","17","017",659,2005
"603","17","019",8290,2005
"604","17","021",1261,2005
"605","17","023",691,2005
"606","17","025",534,2005
"607","17","027",1311,2005
"608","17","029",2080,2005
"609","17","031",107743,2005
"610","17","033",586,2005
"611","17","035",486,2005
"612","17","037",6669,2005
"613","17","039",758,2005
"614","17","041",919,2005
"615","17","043",48366,2005
"616","17","045",653,2005
"617","17","047",276,2005
"618","17","049",1248,2005
"619","17","051",802,2005
"620","17","053",722,2005
"621","17","055",1511,2005
"622","17","057",1171,2005
"623","17","059",227,2005
"624","17","061",536,2005
"625","17","063",4504,2005
"626","17","065",255,2005
"627","17","067",680,2005
"628","17","069",138,2005
"629","17","071",283,2005
"630","17","073",2150,2005
"631","17","075",1391,2005
"632","17","077",3251,2005
"633","17","079",302,2005
"634","17","081",1384,2005
"635","17","083",1022,2005
"636","17","085",959,2005
"637","17","087",625,2005
"638","17","089",26802,2005
"639","17","091",4329,2005
"640","17","093",10572,2005
"641","17","095",1649,2005
"642","17","097",32690,2005
"643","17","099",4399,2005
"644","17","101",607,2005
"645","17","103",1639,2005
"646","17","105",1477,2005
"647","17","107",1050,2005
"648","17","109",1156,2005
"649","17","111",17055,2005
"650","17","113",6731,2005
"651","17","115",3323,2005
"652","17","117",2102,2005
"653","17","119",10070,2005
"654","17","121",1350,2005
"655","17","123",643,2005
"656","17","125",614,2005
"657","17","127",583,2005
"658","17","129",650,2005
"659","17","131",709,2005
"660","17","133",1670,2005
"661","17","135",968,2005
"662","17","137",1224,2005
"663","17","139",757,2005
"664","17","141",2778,2005
"665","17","143",7317,2005
"666","17","145",853,2005
"667","17","147",964,2005
"668","17","149",548,2005
"669","17","151",126,2005
"670","17","153",258,2005
"671","17","155",287,2005
"672","17","157",1092,2005
"673","17","159",574,2005
"674","17","161",5220,2005
"675","17","163",12312,2005
"676","17","165",834,2005
"677","17","167",6219,2005
"678","17","169",335,2005
"679","17","171",233,2005
"680","17","173",920,2005
"681","17","175",246,2005
"682","17","177",1572,2005
"683","17","179",5887,2005
"684","17","181",648,2005
"685","17","183",2279,2005
"686","17","185",412,2005
"687","17","187",685,2005
"688","17","189",587,2005
"689","17","191",549,2005
"690","17","193",542,2005
"691","17","195",1845,2005
"692","17","197",46469,2005
"693","17","199",3124,2005
"694","17","201",9984,2005
"695","17","203",1978,2005
"696","18","001",982,2005
"697","18","003",10733,2005
"698","18","005",3322,2005
"699","18","007",491,2005
"700","18","009",627,2005
"701","18","011",3394,2005
"702","18","013",931,2005
"703","18","015",1108,2005
"704","18","017",1344,2005
"705","18","019",6043,2005
"706","18","021",1239,2005
"707","18","023",1197,2005
"708","18","025",597,2005
"709","18","027",785,2005
"710","18","029",2479,2005
"711","18","031",1148,2005
"712","18","033",2074,2005
"713","18","035",3640,2005
"714","18","037",1523,2005
"715","18","039",7738,2005
"716","18","041",913,2005
"717","18","043",4502,2005
"718","18","045",880,2005
"719","18","047",1098,2005
"720","18","049",1031,2005
"721","18","051",1408,2005
"722","18","053",1997,2005
"723","18","055",1467,2005
"724","18","057",19566,2005
"725","18","059",4871,2005
"726","18","061",1852,2005
"727","18","063",9616,2005
"728","18","065",1736,2005
"729","18","067",3173,2005
"730","18","069",1498,2005
"731","18","071",1752,2005
"732","18","073",1530,2005
"733","18","075",752,2005
"734","18","077",1265,2005
"735","18","079",1428,2005
"736","18","081",9601,2005
"737","18","083",1162,2005
"738","18","085",3316,2005
"739","18","087",1440,2005
"740","18","089",18617,2005
"741","18","091",3552,2005
"742","18","093",1678,2005
"743","18","095",4555,2005
"744","18","097",36300,2005
"745","18","099",1975,2005
"746","18","101",400,2005
"747","18","103",1487,2005
"748","18","105",6378,2005
"749","18","107",1527,2005
"750","18","109",3935,2005
"751","18","111",844,2005
"752","18","113",2113,2005
"753","18","115",422,2005
"754","18","117",779,2005
"755","18","119",1252,2005
"756","18","121",759,2005
"757","18","123",565,2005
"758","18","125",510,2005
"759","18","127",9132,2005
"760","18","129",1111,2005
"761","18","131",668,2005
"762","18","133",1969,2005
"763","18","135",1251,2005
"764","18","137",1390,2005
"765","18","139",809,2005
"766","18","141",9069,2005
"767","18","143",1177,2005
"768","18","145",1990,2005
"769","18","147",986,2005
"770","18","149",1208,2005
"771","18","151",1746,2005
"772","18","153",771,2005
"773","18","155",580,2005
"774","18","157",8285,2005
"775","18","159",721,2005
"776","18","161",439,2005
"777","18","163",6677,2005
"778","18","165",820,2005
"779","18","167",3899,2005
"780","18","169",1098,2005
"781","18","171",476,2005
"782","18","173",3644,2005
"783","18","175",1193,2005
"784","18","177",2150,2005
"785","18","179",1178,2005
"786","18","181",1091,2005
"787","18","183",1635,2005
"788","19","001",371,2005
"789","19","003",183,2005
"790","19","005",505,2005
"791","19","007",497,2005
"792","19","009",214,2005
"793","19","011",1303,2005
"794","19","013",4213,2005
"795","19","015",1266,2005
"796","19","017",1133,2005
"797","19","019",783,2005
"798","19","021",894,2005
"799","19","023",606,2005
"800","19","025",443,2005
"801","19","027",678,2005
"802","19","029",543,2005
"803","19","031",947,2005
"804","19","033",1598,2005
"805","19","035",415,2005
"806","19","037",421,2005
"807","19","039",543,2005
"808","19","041",706,2005
"809","19","043",635,2005
"810","19","045",1659,2005
"811","19","047",592,2005
"812","19","049",5118,2005
"813","19","051",325,2005
"814","19","053",438,2005
"815","19","055",588,2005
"816","19","057",1407,2005
"817","19","059",887,2005
"818","19","061",2626,2005
"819","19","063",358,2005
"820","19","065",833,2005
"821","19","067",627,2005
"822","19","069",375,2005
"823","19","071",355,2005
"824","19","073",417,2005
"825","19","075",555,2005
"826","19","077",591,2005
"827","19","079",736,2005
"828","19","081",567,2005
"829","19","083",734,2005
"830","19","085",652,2005
"831","19","087",935,2005
"832","19","089",337,2005
"833","19","091",381,2005
"834","19","093",312,2005
"835","19","095",730,2005
"836","19","097",787,2005
"837","19","099",1442,2005
"838","19","101",639,2005
"839","19","103",6998,2005
"840","19","105",776,2005
"841","19","107",428,2005
"842","19","109",445,2005
"843","19","111",1243,2005
"844","19","113",7572,2005
"845","19","115",457,2005
"846","19","117",386,2005
"847","19","119",418,2005
"848","19","121",924,2005
"849","19","123",1017,2005
"850","19","125",1579,2005
"851","19","127",1403,2005
"852","19","129",1008,2005
"853","19","131",338,2005
"854","19","133",355,2005
"855","19","135",336,2005
"856","19","137",531,2005
"857","19","139",1657,2005
"858","19","141",617,2005
"859","19","143",214,2005
"860","19","145",668,2005
"861","19","147",384,2005
"862","19","149",973,2005
"863","19","151",236,2005
"864","19","153",17062,2005
"865","19","155",3978,2005
"866","19","157",829,2005
"867","19","159",201,2005
"868","19","161",307,2005
"869","19","163",6570,2005
"870","19","165",434,2005
"871","19","167",931,2005
"872","19","169",4400,2005
"873","19","171",760,2005
"874","19","173",286,2005
"875","19","175",530,2005
"876","19","177",342,2005
"877","19","179",1633,2005
"878","19","181",2642,2005
"879","19","183",957,2005
"880","19","185",311,2005
"881","19","187",1259,2005
"882","19","189",445,2005
"883","19","191",634,2005
"884","19","193",3491,2005
"885","19","195",388,2005
"886","19","197",512,2005
"887","20","001",528,2005
"888","20","003",436,2005
"889","20","005",654,2005
"890","20","007",232,2005
"891","20","009",1056,2005
"892","20","011",597,2005
"893","20","013",438,2005
"894","20","015",3592,2005
"895","20","017",147,2005
"896","20","019",182,2005
"897","20","021",857,2005
"898","20","023",83,2005
"899","20","025",123,2005
"900","20","027",480,2005
"901","20","029",446,2005
"902","20","031",412,2005
"903","20","033",97,2005
"904","20","035",1366,2005
"905","20","037",1757,2005
"906","20","039",100,2005
"907","20","041",1239,2005
"908","20","043",337,2005
"909","20","045",6040,2005
"910","20","047",153,2005
"911","20","049",150,2005
"912","20","051",1224,2005
"913","20","053",285,2005
"914","20","055",1596,2005
"915","20","057",1390,2005
"916","20","059",1395,2005
"917","20","061",4840,2005
"918","20","063",100,2005
"919","20","065",105,2005
"920","20","067",291,2005
"921","20","069",302,2005
"922","20","071",50,2005
"923","20","073",309,2005
"924","20","075",143,2005
"925","20","077",280,2005
"926","20","079",1547,2005
"927","20","081",284,2005
"928","20","083",85,2005
"929","20","085",868,2005
"930","20","087",1156,2005
"931","20","089",116,2005
"932","20","091",29345,2005
"933","20","093",215,2005
"934","20","095",358,2005
"935","20","097",138,2005
"936","20","099",881,2005
"937","20","101",83,2005
"938","20","103",7048,2005
"939","20","105",206,2005
